Complexity metrics,Fri, 25 May 2018 21:34:14 EEST
Method,ev(G),iv(G),v(G)
"gr.aueb.softeng.project1806.view.StopAdapter.StopAdapter(List<Stop>)",1,1,1
"gr.aueb.softeng.project1806.view.StopAdapter.ViewHolder.ViewHolder(ViewGroup)",1,1,1
"gr.aueb.softeng.project1806.view.StopAdapter.getItemCount()",1,1,1
"gr.aueb.softeng.project1806.view.StopAdapter.getStopSelectionListener()",1,1,1
"gr.aueb.softeng.project1806.view.StopAdapter.onBindViewHolder(ViewHolder,int)",1,3,3
"gr.aueb.softeng.project1806.view.StopAdapter.onCreateViewHolder(ViewGroup,int)",1,1,1
"gr.aueb.softeng.project1806.view.StopAdapter.setStopSelectionListener(ItemSelectionListener<Stop>)",1,1,1
"gr.aueb.softeng.project1806.view.addLine.isInteger(String)",1,1,2
"gr.aueb.softeng.project1806.view.addLine.onActivityResult(int,int,Intent)",1,4,4
"gr.aueb.softeng.project1806.view.addLine.onCreate(Bundle)",1,6,6
"gr.aueb.softeng.project1806.view.addStop.isDouble(String)",1,1,2
"gr.aueb.softeng.project1806.view.addStop.isInteger(String)",1,1,2
"gr.aueb.softeng.project1806.view.addStop.onCreate(Bundle)",1,9,9
"gr.aueb.softeng.project1806.view.addStopsToLine.onCreate(Bundle)",1,2,2
"gr.aueb.softeng.project1806.view.addStopsToLine.onItemSelected(Stop,int)",1,3,3
"gr.aueb.softeng.project1806.view.adminLineOptions.onCreate(Bundle)",1,1,1
"gr.aueb.softeng.project1806.view.adminOptions.onCreate(Bundle)",1,1,1
"gr.aueb.softeng.project1806.view.adminStopOptions.onCreate(Bundle)",1,1,1
"gr.aueb.softeng.project1806.view.alterLines.onCreate(Bundle)",1,3,3
"gr.aueb.softeng.project1806.view.alterLines.searchLine(String)",1,1,1
"gr.aueb.softeng.project1806.view.alterStop.isInteger(String)",1,1,2
"gr.aueb.softeng.project1806.view.alterStop.onCreate(Bundle)",1,7,7
"gr.aueb.softeng.project1806.view.alterStop.searchStop(String)",1,1,1
"gr.aueb.softeng.project1806.view.lineInfo.onCreate(Bundle)",1,1,1
"gr.aueb.softeng.project1806.view.removeLine.onCreate(Bundle)",1,4,4
"gr.aueb.softeng.project1806.view.removeStop.isInteger(String)",1,1,2
"gr.aueb.softeng.project1806.view.removeStop.onCreate(Bundle)",1,8,8
"gr.aueb.softeng.project1806.view.stopInfo.isDouble(String)",1,1,2
"gr.aueb.softeng.project1806.view.stopInfo.isInteger(String)",1,1,2
"gr.aueb.softeng.project1806.view.stopInfo.onCreate(Bundle)",1,9,9
"gr.aueb.softeng.project1806.view.userLineSearch.onCreate(Bundle)",1,3,3
"gr.aueb.softeng.project1806.view.userLineSearch.searchLine(String)",1,1,1
"gr.aueb.softeng.project1806.view.userLineSearchResult.onCreate(Bundle)",1,3,3
"gr.aueb.softeng.project1806.view.userOptions.onCreate(Bundle)",1,1,1
"gr.aueb.softeng.project1806.view.userStopSearch.isInteger(String)",1,1,2
"gr.aueb.softeng.project1806.view.userStopSearch.onCreate(Bundle)",1,8,9
"gr.aueb.softeng.project1806.view.userStopSearch.searchStop(String)",1,1,1
"gr.aueb.softeng.project1806.view.userStopSearchByLocResult.onCreate(Bundle)",1,3,3
"gr.aueb.softeng.project1806.view.userStopSearchResult.isInteger(String)",1,1,2
"gr.aueb.softeng.project1806.view.userStopSearchResult.onCreate(Bundle)",1,4,5

Class,OCavg,WMC
"gr.aueb.softeng.project1806.ExampleInstrumentedTest",1.00,1
"gr.aueb.softeng.project1806.dao.DAOTest",1.00,26
"gr.aueb.softeng.project1806.dao.Initializer",1.00,1
"gr.aueb.softeng.project1806.memorydao.BusTimetableDAOMemory",1.00,3
"gr.aueb.softeng.project1806.memorydao.LegDAOMemory",1.00,3
"gr.aueb.softeng.project1806.memorydao.LineDAOMemory",1.80,9
"gr.aueb.softeng.project1806.memorydao.LocationDAOMemory",1.00,3
"gr.aueb.softeng.project1806.memorydao.MemoryInitializer",1.83,11
"gr.aueb.softeng.project1806.memorydao.StopDAOMemory",2.00,12
"gr.aueb.softeng.project1806.model.BusTimetable",1.22,11
"gr.aueb.softeng.project1806.model.BusTimetableTest",1.09,12
"gr.aueb.softeng.project1806.model.Leg",1.17,14
"gr.aueb.softeng.project1806.model.LegTest",1.08,13
"gr.aueb.softeng.project1806.model.Line",1.25,20
"gr.aueb.softeng.project1806.model.LineTest",1.06,19
"gr.aueb.softeng.project1806.model.Location",1.00,6
"gr.aueb.softeng.project1806.model.LocationTest",1.00,7
"gr.aueb.softeng.project1806.model.Stop",1.17,14
"gr.aueb.softeng.project1806.model.StopTest",1.08,14
"gr.aueb.softeng.project1806.presenter.LineSearchPresenter",3.00,3
"gr.aueb.softeng.project1806.presenter.StopSearchPresenter",1.67,5
"gr.aueb.softeng.project1806.view.Home",1.00,3
"gr.aueb.softeng.project1806.view.StopAdapter",1.25,10
"gr.aueb.softeng.project1806.view.StopAdapter.ViewHolder",1.00,1
"gr.aueb.softeng.project1806.view.addLine",2.00,8
"gr.aueb.softeng.project1806.view.addStop",2.00,8
"gr.aueb.softeng.project1806.view.addStopsToLine",2.00,6
"gr.aueb.softeng.project1806.view.adminLineOptions",1.00,4
"gr.aueb.softeng.project1806.view.adminOptions",1.00,3
"gr.aueb.softeng.project1806.view.adminStopOptions",1.00,4
"gr.aueb.softeng.project1806.view.alterLines",1.67,5
"gr.aueb.softeng.project1806.view.alterStop",2.50,10
"gr.aueb.softeng.project1806.view.lineInfo",1.00,2
"gr.aueb.softeng.project1806.view.removeLine",2.50,5
"gr.aueb.softeng.project1806.view.removeStop",3.33,10
"gr.aueb.softeng.project1806.view.stopInfo",2.00,8
"gr.aueb.softeng.project1806.view.userLineSearch",1.67,5
"gr.aueb.softeng.project1806.view.userLineSearchResult",3.00,3
"gr.aueb.softeng.project1806.view.userOptions",1.00,3
"gr.aueb.softeng.project1806.view.userStopSearch",2.17,13
"gr.aueb.softeng.project1806.view.userStopSearchByLocResult",3.00,3
"gr.aueb.softeng.project1806.view.userStopSearchResult",3.00,6

Package,v(G)avg,v(G)tot
"gr.aueb.softeng.project1806",1.00,1
"gr.aueb.softeng.project1806.dao",1.00,27
"gr.aueb.softeng.project1806.memorydao",1.58,41
"gr.aueb.softeng.project1806.model",1.13,131
"gr.aueb.softeng.project1806.presenter",2.00,8
"gr.aueb.softeng.project1806.view",2.80,115

Module,v(G)avg,v(G)tot
"app",1.50,323

Project,v(G)avg,v(G)tot
"project",1.50,323

